KURS;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;10000IDR;100INR;100KRW;1CNY;1XDR;nrtabeli;peˆnynumertabeli;;;;;;;;
23.02.2023;0,1295;4,4873;3,0589;0,5719;3,3140;2,7962;3,3407;4,7525;1,2472;4,8085;5,3984;0,1258;3,3271;0,2005;0,6384;3,1123;0,4333;0,4303;0,9665;2,4299;0,2378;1,2392;0,5602;0,0815;0,2453;0,2449;0,8709;1,0120;2,9541;5,4229;0,3455;0,6504;5,9485;38;038/A/NBP/2023;;;;;;;;
24.02.2023;0,1281;4,4630;3,0275;0,5687;3,2892;2,7738;3,3192;4,7245;1,2438;4,7749;5,3663;0,1258;3,3023;0,1997;0,6347;3,0940;0,4327;0,4288;0,9606;2,4156;0,2364;1,2197;0,5526;0,0813;0,2426;0,2434;0,8687;1,0062;2,9313;5,3942;0,3413;0,6433;5,9219;39;039/A/NBP/2023;;;;;;;;
27.02.2023;0,1273;4,4697;3,0026;0,5697;3,2874;2,7497;3,3124;4,7162;1,2430;4,7487;5,3523;0,1258;3,2771;0,1996;0,6336;3,0967;0,4310;0,4264;0,9583;2,4113;0,2367;1,2190;0,5410;0,0805;0,2431;0,2425;0,8578;0,9980;2,9271;5,3952;0,3383;0,6421;5,9245;40;040/A/NBP/2023;;;;;;;;
28.02.2023;0,1258;4,4475;2,9888;0,5666;3,2726;2,7327;3,2970;4,7170;1,2418;4,7424;5,3700;0,1258;3,2525;0,1999;0,6338;3,0972;0,4295;0,4266;0,9586;2,4117;0,2355;1,2116;0,5340;0,0804;0,2424;0,2412;0,8551;0,9911;2,9164;5,3801;0,3363;0,6412;5,9277;41;041/A/NBP/2023;;;;;;;;
01.03.2023;0,1267;4,4094;2,9819;0,5617;3,2415;2,7582;3,2872;4,6925;1,2473;4,7031;5,3218;0,1258;3,2458;0,2002;0,6303;3,0690;0,4271;0,4234;0,9529;2,3992;0,2335;1,2158;0,5327;0,0802;0,2413;0,2425;0,8420;0,9859;2,8943;5,3443;0,3376;0,6410;5,8719;42;042/A/NBP/2023;;;;;;;;
02.03.2023;0,1266;4,4002;2,9638;0,5606;3,2329;2,7380;3,2671;4,6750;1,2503;4,6743;5,2676;0,1258;3,2239;0,1993;0,6282;3,0858;0,4221;0,4197;0,9499;2,3903;0,2330;1,2076;0,5428;0,0800;0,2430;0,2427;0,8495;0,9832;2,8797;5,3274;0,3357;0,6379;5,8366;43;043/A/NBP/2023;;;;;;;;
03.03.2023;0,1278;4,4341;2,9967;0,5649;3,2695;2,7642;3,2941;4,7046;1,2426;4,7280;5,3147;0,1258;3,2566;0,2003;0,6322;3,1260;0,4253;0,4222;0,9558;2,4054;0,2348;1,2100;0,5459;0,0809;0,2454;0,2438;0,8525;0,9906;2,8981;5,4108;0,3410;0,6424;5,8989;44;044/A/NBP/2023;;;;;;;;
06.03.2023;0,1283;4,4289;2,9820;0,5642;3,2564;2,7407;3,2907;4,7073;1,2441;4,7402;5,3268;0,1258;3,2540;0,1999;0,6325;3,1403;0,4242;0,4219;0,9570;2,4068;0,2344;1,2100;0,5518;0,0806;0,2466;0,2429;0,8524;0,9890;2,8957;5,4061;0,3404;0,6390;5,8977;45;045/A/NBP/2023;;;;;;;;
07.03.2023;0,1273;4,3981;2,9360;0,5603;3,2266;2,7250;3,2673;4,6871;1,2419;4,7156;5,2836;0,1258;3,2372;0,1992;0,6298;3,1310;0,4201;0,4189;0,9526;2,3965;0,2326;1,2220;0,5520;0,0799;0,2446;0,2398;0,8534;0,9834;2,8652;5,3750;0,3375;0,6343;5,8558;46;046/A/NBP/2023;;;;;;;;
08.03.2023;0,1271;4,4626;2,9463;0,5685;3,2434;2,7307;3,2955;4,7018;1,2335;4,7342;5,2811;0,1258;3,2442;0,1988;0,6318;3,1366;0,4172;0,4156;0,9558;2,4040;0,2356;1,2375;0,5540;0,0806;0,2471;0,2397;0,8596;0,9861;2,8912;5,4384;0,3385;0,6405;5,8660;47;047/A/NBP/2023;;;;;;;;
09.03.2023;0,1265;4,4356;2,9320;0,5650;3,2131;2,7169;3,2805;4,6836;1,2348;4,7319;5,2648;0,1258;3,2570;0,1983;0,6294;3,1245;0,4155;0,4145;0,9529;2,3947;0,2341;1,2314;0,5512;0,0804;0,2477;0,2390;0,8620;0,9811;2,8756;5,4110;0,3357;0,6374;5,8778;48;048/A/NBP/2023;;;;;;;;
10.03.2023;0,1262;4,4266;2,9154;0,5639;3,1992;2,7044;3,2640;4,6838;1,2235;4,7578;5,3068;0,1258;3,2360;0,1981;0,6294;3,1246;0,4138;0,4115;0,9530;2,3948;0,2334;1,2318;0,5557;0,0802;0,2413;0,2401;0,8570;0,9792;2,8649;5,3954;0,3353;0,6361;5,8840;49;049/A/NBP/2023;;;;;;;;
