KURS;1 USD;1 EUR;1 AUD;1 CYP;1 CZK;1 DKK;1 EEK;1 HKD;100 JPY;1 CAD;1 LTL;1 LVL ;1 MTL;1 NOK;1 ZAR;1 RUB;1 SKK;100 SIT;1 CHF;1 SEK;1 UAH;100 HUF;1 GBP;1 XDR;NR TAB
22.04.2003;3,908;4,2735;2,4171;7,2722;0,1349;0,5755;0,273;0,5006;3,2448;2,6833;1,2376;6,7453;10,0411;0,5446;0,5122;0,1255;0,1042;1,8385;2,8385;0,4666;0,7317;1,7356;6,1392;5,3738;78/A/NBP/2003
23.04.2003;3,889;4,2635;2,4146;7,2453;0,1345;0,5742;0,2726;0,4988;3,2399;2,6907;1,2346;6,7333;10,0188;0,5425;0,5124;0,1251;0,1039;1,8338;2,8284;0,4675;0,7294;1,7341;6,1218;5,3431;79/A/NBP/2003
24.04.2003;3,8963;4,293;2,4059;7,2948;0,1354;0,5782;0,2744;0,4998;3,2478;2,6654;1,2432;6,7686;10,0988;0,5477;0,5262;0,1254;0,1047;1,8468;2,8514;0,4707;0,7309;1,7457;6,2033;5,3853;80/A/NBP/2003
25.04.2003;3,8898;4,2769;2,3976;7,278;0,1354;0,5761;0,2731;0,4987;3,2265;2,6658;1,2387;6,7438;10,0597;0,547;0,5323;0,1251;0,1045;1,8387;2,8467;0,4694;0,7297;1,7403;6,1751;5,3523;81/A/NBP/2003
28.04.2003;3,8783;4,2735;2,4007;7,2623;0,1356;0,5756;0,2732;0,4974;3,2237;2,6845;1,2376;6,7389;10,0541;0,5479;0,543;0,1247;0,1044;1,8378;2,8432;0,4679;0,7275;1,7394;6,1854;5,3532;82/A/NBP/2003
29.04.2003;3,8945;4,2792;2,4129;7,2776;0,1359;0,5764;0,2734;0,4993;3,2445;2,686;1,2391;6,7618;10,0723;0,5519;0,5353;0,1252;0,1045;1,8376;2,8409;0,4677;0,7304;1,7425;6,2026;5,353;83/A/NBP/2003
30.04.2003;3,8406;4,2755;2,3979;7,2762;0,1358;0,5759;0,2733;0,4925;3,2144;2,6693;1,2384;6,7093;10,0317;0,5453;0,5383;0,1235;0,1045;1,8374;2,8262;0,4692;0,7201;1,7384;6,1289;5,3684;84/A/NBP/2003
02.05.2003;3,8015;4,2626;2,3955;7,2419;0,1359;0,5741;0,2724;0,487;3,1955;2,675;1,2344;6,6614;9,992;0,5429;0,5148;0,1221;0,1042;1,8312;2,8213;0,4675;0,7126;1,7374;6,1073;5,2997;85/A/NBP/2003
05.05.2003;3,7871;4,2465;2,3886;7,2269;0,1359;0,5719;0,2714;0,4856;3,1829;2,6702;1,2299;6,6377;9,952;0,5388;0,5086;0,1217;0,1041;1,8242;2,8068;0,4673;0,7102;1,7321;6,0742;5,2588;86/A/NBP/2003
06.05.2003;3,7608;4,2613;2,3988;7,252;0,1363;0,5738;0,2724;0,482;3,179;2,6763;1,2339;6,6221;9,9633;0,5395;0,5155;0,1208;0,1036;1,8301;2,811;0,4686;0,7054;1,738;6,0534;5,2887;87/A/NBP/2003
